model,alfworld_precision,alfworld_recall,alfworld_f1_score,lumos_precision,lumos_recall,lumos_f1_score,os_precision,os_recall,os_f1_score,toolalpaca_precision,toolalpaca_recall,toolalpaca_f1_score,toolbench_precision,toolbench_recall,toolbench_f1_score,webshop_precision,webshop_recall,webshop_f1_score
qwen-2.5-7b-chat-magnitude-un0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniCPM3-4B,,,,,,,,,,,,,,,,,,
llama-3.1-8B-Instruct-W8A8-gptq,,,,,,,0.7775000000000001,0.865,0.7901695526695527,0.05806451612903226,0.06720430107526881,0.05748421232292201,0.0,0.0,0.0,0.5849624060150376,0.5852130325814539,0.57565755046958
llama-3.1-8B-Instruct-GPTQ-w4a16,0.25864171971850447,0.3319418295379833,0.27476156518844913,,,,0.7175,0.8791666666666668,0.7684992784992783,0.07258064516129033,0.09318996415770611,0.07739375320020482,0.0,0.0,0.0,0.007518796992481203,0.009523809523809523,0.008270676691729324
Mistral-7B-Instruct-v0.3-W8A8-gptq,0.6222394948356484,0.6349659421774807,0.6085404942701134,0.6650463147395667,0.6962605901256217,0.651302558863007,0.6558333333333334,0.8316666666666667,0.7094372294372293,0.0,0.0,0.0,0.0,0.0,0.0,0.7741138560687437,0.7028822055137847,0.7234037474638977
Qwen2.5-7B-Instruct-GPTQ-w4a16,0.47626992311428584,0.5356440567979031,0.48294152178635585,,,,0.7736904761904762,0.9316666666666666,0.8257570207570207,0.02329749103942652,0.020609318996415767,0.02150537634408602,0.0,0.0,0.0,0.805764411027569,0.6879699248120303,0.7350638501014439
Qwen2.5-3B-Instruct-GPTQ-Int4,,,,,,,0.6885714285714287,0.9049999999999999,0.7603363303363302,0.4831463637915251,0.6815412186379928,0.53687895139508,0.6637713564958146,0.7254385964912283,0.662363495185969,,,
internlm-2.5-7b-chat-magnitude-2-4-0.5,0.0,0.0,0.0,0.002385821404226312,0.0008520790729379685,0.0012010257409030413,0.6808333333333334,0.6533333333333332,0.6421825396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.5307017543859647,0.45,0.48281417830289985
Megrez-3B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.7022619047619048,0.8158333333333333,0.7250541125541126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-1.5B,0.16293965227878074,0.30488661979046605,0.2018914502961929,0.5419842747973384,0.6323838737949162,0.5633465181329176,0.6866666666666666,0.845,0.7319011544011543,0.23989030682579066,0.5102150537634408,0.3153968843722164,0.0456140350877193,0.06652046783625731,0.05238095238095238,0.8020050125313289,0.6830827067669176,0.7308927079603771
internlm-2.5-7b-chat-sparsegpt-un0.5,0.4814280626780624,0.45800855127778195,0.4552672941555648,0.01147466484889798,0.005355925601324374,0.006981929681316185,0.7083333333333334,0.8324999999999999,0.7378066378066378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3-GPTQ-w4a16,0.5434313371813374,0.569640722525338,0.5353272873903515,0.6645812492438263,0.6911481156879933,0.6496685262022694,0.6708333333333334,0.8550000000000001,0.7287806637806636,0.0,0.0,0.0,0.0,0.0,0.0,0.8032223415682066,0.703759398496241,0.7429065086959824
internlm2_5-20b-chat,0.6141025641025643,0.593021615137,0.5878177183220056,,,,0.7216666666666668,0.8908333333333334,0.7758802308802307,,,,,,,0.5061403508771931,0.5825814536340853,0.5329557660384724
Qwen2.5-1.5B-Instruct-GPTQ-Int4,0.6296315374440373,0.45474664224664235,0.5090289682841482,0.7023574925415426,0.685256597526537,0.6722380720846995,0.7741666666666667,0.8366666666666667,0.7788780663780664,0.451028720383559,0.6412186379928314,0.5032521242198661,0.5016882483987747,0.7326023391812867,0.5752737515895406,0.8223684210526319,0.711027568922306,0.7554899152643513
internlm-2.5-7b-chat-wanda-2-4-0.5,0.19537927350427348,0.1935429421006343,0.18797210070533416,0.009429675073846852,0.004567143830947512,0.005833089882169637,0.7433333333333334,0.7716666666666667,0.7281096681096682,0.0,0.0,0.0,0.0,0.0,0.0,0.4110275689223056,0.3536340852130326,0.3771034729681344
gemma-2-2b-it,,,,,,,,,,,,,,,,,,
qwen-2.5-7b-chat-sparsegpt-2-4-0.5,0.596287393162393,0.4541655459924698,0.49932328942911214,0.5947143394414391,0.661427597623917,0.6060862109941874,0.8175000000000001,0.8133333333333335,0.780674603174603,0.0913978494623656,0.09767025089605735,0.09278033794162824,0.0,0.0,0.0,0.8151629072681709,0.7016290726817045,0.7474340613438357
qwen-2.5-7b-chat-wanda-un0.5,0.5523275335775336,0.5510775015582708,0.5214602896133396,0.6717132413927425,0.7315171876521579,0.6793769107644979,0.73,0.8366666666666667,0.7541847041847041,0.08333333333333334,0.07885304659498209,0.07782898105478751,0.0,0.0,0.0,0.7944921828380478,0.6948621553884715,0.7335438162505833
Qwen2.5-14B-Instruct-GPTQ-Int4,0.279185157790927,0.21744500157961752,0.2372628234514996,0.3588957055214732,0.383985782452041,0.35755385264587913,0.36000000000000004,0.5441666666666667,0.418553391053391,0.42849462365591406,0.3973118279569892,0.40002560163850476,0.23976608187134477,0.29926900584795324,0.2567878028404341,0.4887218045112784,0.41779448621553883,0.44665234514858543
Qwen2.5-3B-Instruct-AWQ,0.4119104986893451,0.4217009486240255,0.4009779180337605,,,,0.7541666666666668,0.8641666666666665,0.7759559884559885,0.5715139102235877,0.7143369175627242,0.6053874440971211,0.6922474455369192,0.7555555555555558,0.6949479127110701,0.2838692531361704,0.29999999999999993,0.27660002684735563
internlm2_5-20b-chat-4bit-awq,0.7006834867411796,0.6522226171264636,0.6567079703181922,,,,0.7749999999999999,0.845,0.7869516594516595,0.5056032677000419,0.6985663082437278,0.5564771548642513,,,,0.6533476548514144,0.680200501253133,0.6553662294263798
internlm-2.5-7b-chat-magnitude-un0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5375,0.45666666666666667,0.47968253968253965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3-awq-w4-g128-zp,0.5944004179581104,0.6304320145666306,0.5901932995794957,0.6679685402078044,0.7046742623429747,0.6597040932389193,0.7200000000000001,0.8566666666666667,0.7597943722943723,0.0,0.0,0.0,0.0,0.0,0.0,0.7854636591478702,0.6911027568922309,0.7275491843161016
Qwen2.5-7B-Instruct-awq-w4-g128-zp,0.546972677368123,0.5784765448226986,0.5402705420719592,0.5091265735637562,0.6427208102054731,0.5453151364355765,0.7716666666666667,0.9075,0.8096428571428571,0.07347670250896057,0.07258064516129033,0.06968766001024065,0.0,0.0,0.0,0.8070175438596494,0.7020050125313285,0.7440625372956201
Qwen2.5-32B-Instruct-AWQ,0.557708078958079,0.6189490530836687,0.5713754082677973,0.6917445710390492,0.6837520693348916,0.6620024902053058,0.8158333333333335,0.8966666666666667,0.8332070707070706,0.73773681515617,0.7125448028673835,0.7001885211562628,0.7394005847953214,0.7660818713450294,0.7230411888306623,0.8070175438596495,0.6947368421052633,0.7402733023033773
