model,jericho_progress_rate,jericho_success_rate,pddl_progress_rate,pddl_success_rate,tool-query_progress_rate,tool-query_success_rate,tool-operation_progress_rate,tool-operation_success_rate,scienceworld_progress_rate,scienceworld_success_rate
Qwen2.5-7B-Instruct-GPTQ-w4a16,0.1255952380952381,0.0,0.22888888888888895,0.1,0.42270923520923515,0.15,0.1570833333333333,0.0,0.26411816578483244,0.13333333333333333
Qwen2.5-7B-Instruct,0.08214285714285716,0.0,0.33555555555555544,0.13333333333333333,0.44003186628186625,0.18333333333333332,0.2,0.0,0.26792768959435614,0.12222222222222222
Qwen2.5-7B-Instruct-RTN-w4,0.24807900432900434,0.0,0.2705555555555556,0.08333333333333333,0.39273328523328516,0.18333333333333332,0.1825,0.0,0.19823192239858894,0.07777777777777778
deepseek-qwen-7b,0.019642857142857142,0.0,0.01111111111111111,0.0,0.08523208273208274,0.0,0.026666666666666665,0.0,0.025674603174603173,0.0
InternLM2.5-7B-Instruct-GPTQ-w4a16,0.12678571428571428,0.0,0.25291666666666673,0.06666666666666667,0.21691979316979318,0.05,0.14208333333333334,0.0,0.1512125220458554,0.044444444444444446
deepseek-llama-8b,0.0,0.0,0.0,0.0,0.010714285714285713,0.0,0.008749999999999999,0.0,0.012407407407407407,0.0
qwen-1.5b-gptq-int4,0.052083333333333336,0.0,0.0625,0.016666666666666666,0.16174663299663297,0.016666666666666666,,,,
InternLM2.5-7B-Instruct,0.14226190476190476,0.0,0.17638888888888893,0.0,0.31640331890331885,0.08333333333333333,0.07666666666666666,0.0,0.13911816578483244,0.022222222222222223
InternLM2.5-7B-Instruct-SparseGPT-2-4-0.5,0.0,0.0,0.0,0.0,0.15772607022607024,0.0,0.0125,0.0,0.0,0.0
InternLM2.5-7B-Instruct-Wanda-Un-0.5,0.06964285714285715,0.0,0.09958333333333332,0.016666666666666666,0.3067015392015392,0.03333333333333333,0.18,0.0,0.09792768959435628,0.011111111111111112
deepseek-qwen-1.5b,0.03214285714285714,0.0,0.0,0.0,0.056462241462241464,0.0,0.04666666666666667,0.0,0.0,0.0
megrez-3b,,,,,0.0,0.0,0.0,0.0,,
Qwen2.5-7B-Instruct-SparseGPT-Un-0.5,0.17389069264069262,0.0,0.20125000000000004,0.03333333333333333,0.35873075998076,0.08333333333333333,0.16583333333333333,0.0,0.1478350970017637,0.03333333333333333
Qwen2.5-7B-Instruct-Wanda-2-4-0.5,0.0125,0.0,0.005555555555555555,0.0,0.11861832611832614,0.0,0.03791666666666667,0.0,0.017962962962962962,0.0
InternLM2.5-7B-Instruct-AWQ,0.11220238095238096,0.05,0.1866666666666667,0.03333333333333333,0.34479797979797977,0.08333333333333333,0.020833333333333336,0.0,0.13810405643738977,0.03333333333333333
InternLM2.5-7B-Instruct-SparseGPT-Un-0.5,0.06339285714285714,0.0,0.03666666666666666,0.0,0.18891654641654645,0.0,0.14625,0.0,0.08976190476190476,0.022222222222222223
Qwen2.5-7B-Instruct-Wanda-Un-0.5,0.11220238095238096,0.0,0.14,0.03333333333333333,0.3878848003848004,0.08333333333333333,0.15041666666666664,0.0,0.1497927689594356,0.06666666666666667
qwen-3b-awq,0.08839285714285715,0.0,0.2334722222222223,0.06666666666666667,0.3064772727272727,0.06666666666666667,0.07,0.0,0.168152557319224,0.022222222222222223
InternLM2.5-7B-Instruct-Mag-2-4-0.5,0.04583333333333333,0.0,0.0,0.0,0.11027837902837909,0.0,0.013333333333333332,0.0,0.0,0.0
Qwen2.5-7B-Instruct-Mag-2-4-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InternLM2.5-7B-Instruct-Mag-Un-0.5,0.045535714285714284,0.0,0.04444444444444444,0.016666666666666666,0.18397607022607024,0.0,0.13999999999999999,0.0,0.035798059964726625,0.0
Qwen2.5-7B-Instruct-SparseGPT-2-4-0.5,0.05714285714285714,0.0,0.07458333333333332,0.016666666666666666,0.20410113035113037,0.0,0.07458333333333332,0.0,0.07894620811287478,0.0
qwen-3b-gptq-int4,0.1130952380952381,0.0,0.14611111111111105,0.03333333333333333,0.3036778499278498,0.11666666666666667,,,,
InternLM2.5-7B-Instruct-Wanda-2-4-0.5,0.007142857142857143,0.0,0.1072222222222222,0.016666666666666666,0.10282467532467535,0.016666666666666666,0.14916666666666664,0.0,0.0,0.0
Qwen2.5-7B-Instruct-AWQ,0.19732142857142856,0.0,0.2713888888888889,0.13333333333333333,0.4715975228475228,0.25,0.21458333333333335,0.0,0.17326278659611993,0.05555555555555555
Qwen2.5-7B-Instruct-Mag-Un-0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
